instrument,note,midi,pp_source,mf_source,ff_source,gpr_p,gpr_mp,gpr_f,linear_mp_estimate,quadratic_mp_estimate,gpr_mp_std,mp_minus_p,mf_minus_mp,outside_pp_mf_interval,finite,negative,warnings,model,mp_coordinate
viola,A#3,58.0,23.650212,25.057078,28.74837,24.19335746789338,24.611079975571833,26.810315800524624,24.353645,24.4911965625,0.3548244999284548,0.41772250767845165,0.4459980244281674,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A#4,70.0,18.703919,15.878015,16.779028,17.079627400903316,16.3982520317837,16.064894506390928,17.290967,16.23509253125,0.45929557118220576,-0.6813753691196176,-0.5202370317836991,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A#5,82.0,8.665828,9.237731,8.732884,8.87506004181262,8.87506005866419,8.875060105218164,8.9517795,9.1957005625,0.1825355987491944,1.6851569029086022e-08,0.3626709413358107,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A#6,94.0,4.864399,4.026284,5.082864,4.650692583157204,4.650692625002539,4.650692744606001,4.4453415,4.05818509375,0.18243389089350087,4.184533519691058e-08,-0.6244086250025385,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A3,57.0,25.514571,27.02792,26.606568,26.357049137478516,26.653735657585635,26.911720373232036,26.2712455,26.830960968750002,0.2956678789371361,0.2966865201071194,0.3741843424143667,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A4,69.0,19.33069,20.810507,21.351478,20.0523537743732,20.325572652748107,21.034220960515032,20.070598500000003,20.5285695625,0.22325427487999192,0.27321887837490877,0.4849343472518939,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A5,81.0,8.259369,7.879721,8.142972,8.08990244150731,8.089902419552487,8.089902350051142,8.069545,7.914361218749999,0.18252774617648931,-2.1954821960434856e-08,-0.21018141955248737,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,A6,93.0,5.277487,6.045336,7.41803,5.704685233324521,5.945363037574206,6.74342005329131,5.6614115,5.79666953125,0.23652054993759597,0.24067780424968532,0.09997296242579345,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,B3,59.0,23.328144,26.714061,22.52097,25.688998825637753,26.447561509072962,25.252226324675956,25.0211025,26.57811375,0.7168950735708745,0.7585626834352084,0.26649949092703906,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,B4,71.0,18.686794,16.923815,15.166433,17.808940604784944,17.378400690272596,16.06264589797119,17.8053045,17.36403503125,0.2454109762694895,-0.4305399145123481,-0.45458569027259443,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,B5,83.0,9.078026,8.56009,8.519324,8.76441543759621,8.740285709334604,8.6671347732671,8.819058,8.6448393125,0.18587120084706865,-0.024129728261605976,-0.18019570933460294,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,B6,95.0,3.160347,3.341944,4.401535,3.3391090741652727,3.4635359377008808,3.888211661428413,3.2511455,3.2142328124999997,0.21447411390727789,0.12442686353560806,-0.12159193770088095,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,C#3,49.0,52.628812,55.856171,55.464366,54.521264882796075,55.26106685444933,55.97593281534189,54.2424915,55.388627875000005,0.40351650542908407,0.7398019716532573,0.5951041455506711,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,C#4,61.0,26.122141,22.659352,24.721467,24.028251768734634,23.176482715092458,23.286675030459712,24.3907465,23.0070895,0.6180280489327703,-0.851769053642176,-0.5171307150924598,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,C#5,73.0,13.606495,13.241895,11.966232,13.368080169662104,13.198409734721244,12.586169150459922,13.424195000000001,13.41845715625,0.2188099077785365,-0.1696704349408602,0.04348526527875585,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,C#6,85.0,7.50039,7.223555,7.223124,7.311133336872063,7.311133293206523,7.3111331589209625,7.3619725,7.266850874999999,0.18251733182592347,-4.366553962853459e-08,-0.08757829320652277,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
viola,C3,48.0,53.040231,62.806258,64.678251,58.506347465928826,60.89680257431996,64.59794112143358,57.923244499999996,61.104816937500004,0.771376475889699,2.390455108391137,1.9094554256800365,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
