instrument,note,midi,dynamic,run_number,global_seed_precondition,values_consumed_before_fit,evaluation_order,prediction,elapsed_s
cello,C4,60.0,mp,521,42,0,canonical,25.3459610630758,0.09809139999561012
cello,C4,60.0,mp,522,999,0,canonical,25.3459610630758,0.09948129999975208
cello,C4,60.0,mp,523,0,1,canonical,25.3459610630758,0.10048000000824686
cello,C4,60.0,mp,524,0,100,canonical,25.3459610630758,0.10161410000000615
cello,C4,60.0,mp,525,0,10000,canonical,25.3459610630758,0.09832170000299811
cello,C4,60.0,mf,526,0,0,canonical,24.304097747151683,0.09966910000366624
cello,C4,60.0,mf,527,1,0,canonical,24.304097747151683,0.0992192999983672
cello,C4,60.0,mf,528,42,0,canonical,24.304097747151683,0.09920940001029521
cello,C4,60.0,mf,529,999,0,canonical,24.304097747151683,0.09915189999446739
cello,C4,60.0,mf,530,0,1,canonical,24.304097747151683,0.0997019999922486
cello,C4,60.0,mf,531,0,100,canonical,24.304097747151683,0.09922370000276715
cello,C4,60.0,mf,532,0,10000,canonical,24.304097747151683,0.10168069999781437
cello,C4,60.0,f,533,0,0,canonical,24.733395425103154,0.10099710000213236
cello,C4,60.0,f,534,1,0,canonical,24.733395425103154,0.10173870000289753
cello,C4,60.0,f,535,42,0,canonical,24.733395425103154,0.10362519999034703
cello,C4,60.0,f,536,999,0,canonical,24.733395425103154,0.10214560000167694
cello,C4,60.0,f,537,0,1,canonical,24.733395425103154,0.10194409999530762
cello,C4,60.0,f,538,0,100,canonical,24.733395425103154,0.10150119999889284
cello,C4,60.0,f,539,0,10000,canonical,24.733395425103154,0.10102589998859912
cello,C4,60.0,ff,540,0,0,canonical,26.54939079793769,0.10086839999712538
cello,C4,60.0,ff,541,1,0,canonical,26.54939079793769,0.09773180000775028
cello,C4,60.0,ff,542,42,0,canonical,26.54939079793769,0.09804110000550281
cello,C4,60.0,ff,543,999,0,canonical,26.54939079793769,0.09986819999176078
cello,C4,60.0,ff,544,0,1,canonical,26.54939079793769,0.1009397000016179
cello,C4,60.0,ff,545,0,100,canonical,26.54939079793769,0.10048139998980332
cello,C4,60.0,ff,546,0,10000,canonical,26.54939079793769,0.10228160000406206
cello,C4,60.0,fff,547,0,0,canonical,27.555456605949686,0.10035449999850243
cello,C4,60.0,fff,548,1,0,canonical,27.555456605949686,0.10135729999456089
cello,C4,60.0,fff,549,42,0,canonical,27.555456605949686,0.10212689999025315
cello,C4,60.0,fff,550,999,0,canonical,27.555456605949686,0.10169820000010077
cello,C4,60.0,fff,551,0,1,canonical,27.555456605949686,0.10116580000612885
cello,C4,60.0,fff,552,0,100,canonical,27.555456605949686,0.10241310000128578
cello,C4,60.0,fff,553,0,10000,canonical,27.555456605949686,0.10133309999946505
cello,C4,60.0,ffff,554,0,0,canonical,27.588839332949416,0.10314300000027288
cello,C4,60.0,ffff,555,1,0,canonical,27.588839332949416,0.10160900000482798
cello,C4,60.0,ffff,556,42,0,canonical,27.588839332949416,0.09999809999135323
cello,C4,60.0,ffff,557,999,0,canonical,27.588839332949416,0.10224929999094456
cello,C4,60.0,ffff,558,0,1,canonical,27.588839332949416,0.1006580999965081
cello,C4,60.0,ffff,559,0,100,canonical,27.588839332949416,0.09975219999614637
cello,C4,60.0,ffff,560,0,10000,canonical,27.588839332949416,0.10254639999766368
cello,C6,84.0,pppp,561,0,0,canonical,5.325922221299815,0.11697689999709837
cello,C6,84.0,pppp,562,1,0,canonical,5.325922221299815,0.1205169000022579
cello,C6,84.0,pppp,563,42,0,canonical,5.325922221299815,0.11899509999784641
cello,C6,84.0,pppp,564,999,0,canonical,5.325922221299815,0.11867979999806266
cello,C6,84.0,pppp,565,0,1,canonical,5.325922221299815,0.1197762999945553
cello,C6,84.0,pppp,566,0,100,canonical,5.325922221299815,0.11796050000702962
cello,C6,84.0,pppp,567,0,10000,canonical,5.325922221299815,0.11891889999969862
cello,C6,84.0,ppp,568,0,0,canonical,5.325922244751249,0.12035219999961555
cello,C6,84.0,ppp,569,1,0,canonical,5.325922244751249,0.11836220000986941
cello,C6,84.0,ppp,570,42,0,canonical,5.325922244751249,0.11889030000020284
cello,C6,84.0,ppp,571,999,0,canonical,5.325922244751249,0.11914049999904819
cello,C6,84.0,ppp,572,0,1,canonical,5.325922244751249,0.11732499999925494
cello,C6,84.0,ppp,573,0,100,canonical,5.325922244751249,0.11957340000662953
cello,C6,84.0,ppp,574,0,10000,canonical,5.325922244751249,0.11990679999871645
cello,C6,84.0,pp,575,0,0,canonical,5.325922266605673,0.118420500002685
cello,C6,84.0,pp,576,1,0,canonical,5.325922266605673,0.11779879999812692
cello,C6,84.0,pp,577,42,0,canonical,5.325922266605673,0.1180954000010388
cello,C6,84.0,pp,578,999,0,canonical,5.325922266605673,0.11772019999625627
cello,C6,84.0,pp,579,0,1,canonical,5.325922266605673,0.1183764000015799
cello,C6,84.0,pp,580,0,100,canonical,5.325922266605673,0.12089089999790303
cello,C6,84.0,pp,581,0,10000,canonical,5.325922266605673,0.1172554999939166
cello,C6,84.0,p,582,0,0,canonical,5.325922286862897,0.11900160000368487
