id,category,description,notes,dynamics,instruments,assigned,qty,w,n_events,n_distinct,player_count,span_semitones,interval_raw,interval_reported,pitch_structure_density,sonic_mass,instrument_rss,composite_total,composite_total_pre_log,spectral_entropy,harmonic_ratio,weighted_orchestral,weighted_pitch,warnings,nonfinite_flag
DYN.mixed,DYN,"triad [pp,mf,ff]",C4 E4 G4,pp mf ff,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.5590417523190117,47.280742,27.603106416409656,0.018101293459536993,0.04256056453841936,1.5683084665821831,0.2663971728700874,1.3801553208204829,0.10687941910697595,,False
DYN.contrast,DYN,"triad [ffff,pppp,ffff]",C4 E4 G4,ffff pppp ffff,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.3648139866214164,59.939994035,37.26733590291921,0.019243263054226967,0.04530556633422159,1.4579102851278232,0.4757044213809956,1.8633667951459603,0.10687941910697595,"Instrument 'flauta' dynamic 'ffff' at event evt_0 is outside measured support ('pp', 'mf', 'ff'); boundary 'ff', ratio 1.1^2. Dynamic level outside measured support; saturated extrapolation applied. | Instrument 'flauta' dynamic 'ffff' at event evt_2 is outside measured support ('pp', 'mf', 'ff'); boundary 'ff', ratio 1.1^2. Dynamic level outside measured support; saturated extrapolation applied. | Instrument 'flauta' dynamic 'pppp' at event evt_1 is outside measured support ('pp', 'mf', 'ff'); boundary 'pp', ratio 0.85^2. Dynamic level outside measured support; saturated extrapolation applied.",False
EDO.12_scale,EDO,"12-EDO scale fragment [0,1,2,3]",C4 C#4 D4 D#4,mf mf mf mf,flauta flauta flauta flauta,,1 1 1 1,0.5,4,4,4,3.0,5.0927919809455595,0.2668896185167445,10.182212180347298,85.496927,43.103227396630494,0.06585522550138906,0.16373802615187225,1.9883575032307845,0.3035753320116406,2.1551613698315246,0.13344480925837224,,False
EDO.12_cluster,EDO,"12-EDO cluster [0,1,2]",C4 C#4 D4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,2.0,2.628405589149901,0.2732641309127974,4.817555013746974,66.934765,38.901598346229854,0.028793389245731667,0.06854640925054238,1.5755757763704257,0.3877619948318337,1.9450799173114928,0.1366320654563987,,False
EDO.19_scale,EDO,"19-EDO scale fragment [0,1,2,3]",C4 C#4-36.842105263158231c C#4+26.315789473684248c D4-10.526315789473983c,mf mf mf mf,flauta flauta flauta flauta,,1 1 1 1,0.5,4,4,4,1.8947368421052602,5.406453155728445,0.27899937086535176,10.838337629390056,89.14592087993347,44.796494958390376,0.07113404411340397,0.17796949531987155,1.992928035927751,0.29114913777106266,2.239824747919519,0.13949968543267588,,False
EDO.19_cluster,EDO,"19-EDO cluster [0,1,2]",C4 C#4-36.842105263158231c C#4+26.315789473684248c,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,1.2631578947368425,2.7589269483691883,0.2832203148466434,5.067120220422089,68.68670625885119,39.85155577446867,0.030613797764946764,0.07303477727143524,1.577922043492221,0.3778716350466345,1.9925777887234335,0.1416101574233217,,False
EDO.24_scale,EDO,"24-EDO scale fragment [0,1,2,3]",C4 C4+50c C#4 D4-50c,mf mf mf mf,flauta flauta flauta flauta,,1 1 1 1,0.5,4,4,4,1.5,5.524071085999119,0.28345467816971087,11.080207106025595,90.24988363348898,45.350501015232105,0.07300830282993598,0.18306417329722305,1.9928681582322108,0.2875877170701302,2.267525050761605,0.14172733908485544,,False
EDO.24_cluster,EDO,"24-EDO cluster [0,1,2]",C4 C4+50c C#4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,1.0,2.8072962670373878,0.2868527279965252,5.161236684901096,69.76059571737062,40.45808971050134,0.03139658904624809,0.07497060595568152,1.5784190452867193,0.3720547070032715,2.022904485525067,0.1434263639982626,,False
EDO.31_scale,EDO,"31-EDO scale fragment [0,1,2,3]",C4 C4+38.70967741935516c C#4-22.580645161290391c C#4+16.129032258064768c,mf mf mf mf,flauta flauta flauta flauta,,1 1 1 1,0.5,4,4,4,1.1612903225806477,5.627453550805849,0.28733336288965444,11.297735914126307,91.89873491694657,46.15863434494738,0.07494638599527248,0.18835551493273361,1.9934421734525336,0.28242780516463695,2.307931717247369,0.14366668144482722,,False
EDO.31_cluster,EDO,"31-EDO cluster [0,1,2]",C4 C4+38.70967741935516c C#4-22.580645161290391c,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,0.7741935483870961,2.8495615938771732,0.2900020635856569,5.247811616505957,71.38537504210379,41.34998901131348,0.032260366604521105,0.07711076552128193,1.5801631551704787,0.36358649071594334,2.0674994505656743,0.14500103179282844,,False
EDO.53_scale,EDO,"53-EDO scale fragment [0,1,2,3]",C4 C4+22.64150943396217c C4+45.283018867924341c C#4-32.075471698113489c,mf mf mf mf,flauta flauta flauta flauta,,1 1 1 1,0.5,4,4,4,0.6792452830188651,5.778623553921755,0.29294329152215765,11.15868345850738,96.73700284011232,48.47054646574215,0.07586495642672081,0.19087164972084306,1.9969255696614374,0.529367094827175,2.4235273232871077,0.14647164576107882,,False
EDO.53_cluster,EDO,"53-EDO cluster [0,1,2]",C4 C4+22.64150943396217c C4+45.283018867924341c,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,0.4528301886792434,2.9109527267088646,0.29453623134017426,5.092037695418375,74.85813180779115,43.25169218699688,0.03206252228219314,0.0766201958123539,1.5838763927618238,0.684085815649872,2.1625846093498438,0.14726811567008713,,False
EDO.72_scale,EDO,"72-EDO scale fragment [0,1,2,3]",C4 C4+16.66666666666643c C4+33.33333333333357c C4+50c,mf mf mf mf,flauta flauta flauta flauta,,1 1 1 1,0.5,4,4,4,0.5,5.836075986929577,0.2950564942595885,11.292789163986855,99.34517749754777,49.715876986019865,0.07764120799914839,0.19575225346787625,1.998733322249612,0.5185200506330696,2.4857938493009932,0.14752824712979426,,False
EDO.72_cluster,EDO,"72-EDO cluster [0,1,2]",C4 C4+16.66666666666643c C4+33.33333333333357c,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,0.3333333333333357,2.93415900812524,0.29623792450857644,5.139326073708677,76.07626978017714,43.93434144413172,0.03260200228321074,0.07795840290869076,1.5845771467441587,0.6771160917198669,2.196717072206586,0.14811896225428822,,False
EDO.12_spread,EDO,12-EDO spread reference,C4 E5 G6,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,31.0,0.470075880536643,0.06321771694096212,0.7649768103804152,38.856835,27.539048144542196,0.003586772470595338,0.008293047196261059,1.2446583361052506,0.6679586229810021,1.3769524072271098,0.03160885847048106,,False
EDO.detune_0c,EDO,detune sweep C4 vs +0c,C4 C4,mf mf,flauta flauta,,1 1,0.5,2,1,2,0.0,0.0,0.0,0.0,51.909516,36.70557077171159,0.0,0.0,0.0,1.0,1.8352785385855797,0.0,,False
EDO.detune_10c,EDO,detune sweep C4 vs +10c,C4 C4+10.000000000000142c,mf mf,flauta flauta,,1 1,0.5,2,2,2,0.10000000000000142,0.9900498337491679,0.29886395191286935,1.4248525214752588,51.759477403650685,36.599631232291266,0.007674295628607901,0.017827769566921992,0.9999939386219618,1.0,1.8299815616145632,0.14943197595643468,,False
EDO.detune_25c,EDO,detune sweep C4 vs +25c,C4 C4+25c,mf mf,flauta flauta,,1 1,0.5,2,2,2,0.25,0.9753099120283326,0.29563524301305166,1.4035612561683295,51.07162926901398,36.117955163364165,0.007510640284626683,0.017444293424002985,0.9998058330862689,1.0,1.805897758168208,0.14781762150652583,,False
EDO.detune_50c,EDO,detune sweep C4 vs +50c,C4 C4+50c,mf mf,flauta flauta,,1 1,0.5,2,2,2,0.5,0.951229424500714,0.29030833650716026,1.4822459644540087,49.22366571737062,34.858163020992286,0.007784409982106914,0.018085870144245914,0.9978512992162355,0.5272821034708267,1.7429081510496145,0.14515416825358013,,False
EDO.detune_100c,EDO,detune sweep C4 vs +100c,C4 C#4,mf mf,flauta flauta,,1 1,0.5,2,2,2,1.0,0.9048374180359595,0.2798579136268373,1.3996513427071333,46.491688,33.09705359489669,0.007148988385600404,0.0165973853650981,0.9901818073458435,0.5582666303705729,1.6548526797448346,0.13992895681341866,,False
